id,name,country,type
1,Florian Mueller,Deutschland,1
Mainz,Mainz_05,Deutschland,2
33,Fabian Bredlow,Deutschland,1
Nuernberg,1.FC Nuernberg,Deutschland,2
42,Florian Schock,Deutschland,1
Stuttgart,VFB Stuttgart_2,Deutschland,2
5,Konstantinos Mavropanos,Griechenland,1
London,FC Arsenal,England,2
2,Waldemar Anton,Deutschland,1
Hannover,Hannover_96,Deutschland,2
37,Hiroki Ito,Japan,1
Iwata,Jubilo_Iwata,Japan,2
24,Borna Sosa,Kroatien,1
Zagreb,Dinamo_Zagreb,Kroatien,2
15,Pascal Stenzel,Deutschland,1
Freiburg,SC_Freiburg,Deutschland,2
23,Orel Mangala,Belgien,1
Hamburg,Hamburger_SV,Deutschland,2
3,Waturo Endo,Japan,1
St.Truiden,VV_St.Truiden,Belgien,2
16,Atakan Karazor,Deutschland,1
Kiel,Holstein_Kiel,Deutschland,2
32,NaouirouAhamada,Frankreich,1
Turin,Juventus_Turin,Italien,2
6,Clinton Mola,England,1
London,Chelsea_u23,England,2
8,Enzo Millot,Frankreich,1
Monaco,AS_Monaco,Frankreich,2
28,Nikolas Nartey,Daenemark,1
Sandhausen,SV_Sandhausen,Deutschland,2
14,SilasKatompaMvumpa,Kongo ,1
Paris,Paris_FC,Frankreich,2
30,Roberto Massimo,Deutschland,1
Bielefeld,Arminia_Bielefeld,Deutschland,2
11,Erik Thommy,Deutschland,1
Duesseldorf,Fortuna_Duesseldorf,Deutschland,2
20,Philipp Foerster,Deutschland,1
Sandhausen,SV_Sandhausen,Deutschland,2
31,Mateo Klimowicz,Deutschland,1
Korduba,Instituto_AC_Korduba,Argentinien,2
25,lilian Egloff,Deutschland,1
Stuttgart,VFB_Stuttgart_u19,Deutschland,2
34,Oemer Beyaz,Tuerkei,1
Istanbul,Fenerbahce_Istanbul,Tuerkei,2
10,Daniel Didavi,Deutschland,1
Wolfsburg,VFL_Wolfsburg,Deutschland,2
7,Tanguy Coulibaly,Frankreich,1
Paris,Paris_Sg_u19,Frankreich,2
22,Chris Fuehrich,Deutschland,1
Paderborn,SC_Paderborn,Deutschland,2
9,Sasa Kalajdzic,Oesterreich,1
Maria_Enzersdorf,Admira_Wacker,Oesterreich,2
18,Tiago Tomas,Portugal ,1
Lissabon,Sporting_Lissabon,Portugal ,2
17,Omar Marmoush,Aegypten,1
Wolfsburg,VFL_Wolfsburg,Deutschland,2
19,Wahid Faghir,Daenemark,1
Vejle,Vejle_BoldKlub,Daenemark,2
50,Alexis Tibidi,Frankreich,1
Stuttgart,VFB_Stuttgart_u19,Deutschland,2
44,Mohamed Sankoh,Niederlande,1
Stuttgart,VFB_Stuttgart_2,Deutschland,2
Komoren,,,
Martinique,,,
Ghana,,,
Kanada,,,
Afghanistan,,,
Kamerun,,,
Sierra_Leone,,,
Usbekistan,,,
Kongo,,,
Italien,,,
Argentienien,,,
Benin,,,
Elfenbeinkueste,,,
Serbien,,,
